name,latitude,longitude,temperature,humidity,wind_speed,timestamp
Delhi,28.6139,77.209,32.07,43,1.03,1760946511
Mumbai,19.076,72.8777,34.03,43,3.6,1760946649
Bengaluru,12.9716,77.5946,27.63,66,4.12,1760946740
Kolkata,22.5726,88.3639,32.95,52,4.12,1760946644
Chennai,13.0827,80.2707,27.22,96,3.6,1760946141
Hyderabad,17.385,78.4867,28.23,61,5.14,1760946755
Pune,18.5204,73.8567,32.27,42,4.96,1760946677
Ahmedabad,23.0225,72.5714,33.02,38,2.57,1760946183
Jaipur,26.9124,75.7873,29.69,30,2.06,1760946461
Lucknow,26.8467,80.9462,31.05,48,2.57,1760946442
